Episode 100 Score: 0.00000000, Average Score: 0.00410000, Max: 0.20000000, Min: -0.01000000, Time: 0.72558260
Episode 200 Score: 0.00000000, Average Score: 0.01880000, Max: 0.20000000, Min: -0.01000000, Time: 0.70358133
Episode 300 Score: 0.00000000, Average Score: 0.03170000, Max: 0.20000000, Min: -0.01000000, Time: 0.75654554
Episode 400 Score: -0.01000000, Average Score: 0.03660000, Max: 0.20000000, Min: -0.01000000, Time: 0.68063879
Episode 500 Score: 0.00000000, Average Score: 0.03880000, Max: 0.20000000, Min: -0.01000000, Time: 0.64862609
Episode 600 Score: -0.01000000, Average Score: 0.04450000, Max: 0.20000000, Min: -0.01000000, Time: 1.54610825
Episode 700 Score: 0.00000000, Average Score: 0.05390000, Max: 0.20000000, Min: -0.01000000, Time: 0.74156928
Episode 800 Score: 0.00000000, Average Score: 0.06160000, Max: 0.20000000, Min: -0.01000000, Time: 0.68458438
Episode 900 Score: 0.10000000, Average Score: 0.06950000, Max: 0.30000000, Min: -0.01000000, Time: 1.58304596
Episode 1000 Score: 0.10000000, Average Score: 0.06230000, Max: 0.30000000, Min: -0.01000000, Time: 1.57705474
Episode 1100 Score: 0.10000000, Average Score: 0.05870000, Max: 0.30000000, Min: -0.01000000, Time: 1.76895046
Episode 1200 Score: 0.00000000, Average Score: 0.05640000, Max: 0.30000000, Min: -0.01000000, Time: 0.70560265
Episode 1300 Score: 0.00000000, Average Score: 0.05490000, Max: 0.30000000, Min: -0.01000000, Time: 0.77054477
Episode 1400 Score: -0.01000000, Average Score: 0.06270000, Max: 0.30000000, Min: -0.01000000, Time: 0.63860941
Episode 1500 Score: 0.10000000, Average Score: 0.05550000, Max: 0.30000000, Min: -0.01000000, Time: 1.63604188
Episode 1600 Score: 0.09000000, Average Score: 0.05310000, Max: 0.30000000, Min: -0.01000000, Time: 4.28750062
Episode 1700 Score: 0.00000000, Average Score: 0.06790000, Max: 0.30000000, Min: -0.01000000, Time: 0.76955056
Episode 1800 Score: 0.20000000, Average Score: 0.06700000, Max: 0.30000000, Min: -0.01000000, Time: 3.41804123
Episode 1900 Score: 0.10000000, Average Score: 0.06600000, Max: 0.30000000, Min: -0.01000000, Time: 1.58508205
Episode 2000 Score: 0.10000000, Average Score: 0.07100000, Max: 0.30000000, Min: -0.01000000, Time: 1.70301247
Episode 2100 Score: 0.10000000, Average Score: 0.07850000, Max: 0.30000000, Min: -0.01000000, Time: 1.67303085
Episode 2200 Score: 0.10000000, Average Score: 0.08910000, Max: 0.30000000, Min: -0.01000000, Time: 1.63505316
Episode 2300 Score: 0.10000000, Average Score: 0.07420000, Max: 0.30000000, Min: -0.01000000, Time: 1.85492730
Episode 2400 Score: 0.10000000, Average Score: 0.09130000, Max: 0.40000001, Min: -0.01000000, Time: 2.69136238
Episode 2500 Score: 0.10000000, Average Score: 0.08770000, Max: 0.40000001, Min: -0.01000000, Time: 1.77097702
Episode 2600 Score: 0.10000000, Average Score: 0.08550000, Max: 0.40000001, Min: -0.01000000, Time: 1.63106728
Episode 2700 Score: 0.20000000, Average Score: 0.07430000, Max: 0.40000001, Min: -0.01000000, Time: 3.45500803
Episode 2800 Score: 0.10000000, Average Score: 0.08400000, Max: 0.40000001, Min: -0.02000000, Time: 1.49709368
Episode 2900 Score: 0.00000000, Average Score: 0.07610000, Max: 0.40000001, Min: -0.02000000, Time: 0.69957566
Episode 3000 Score: 0.00000000, Average Score: 0.07340000, Max: 0.40000001, Min: -0.02000000, Time: 0.73256278
Episode 3100 Score: 0.10000000, Average Score: 0.08940000, Max: 0.40000001, Min: -0.02000000, Time: 1.64802551
Episode 3200 Score: 0.10000000, Average Score: 0.09970000, Max: 0.40000001, Min: -0.02000000, Time: 2.28965807
Episode 3300 Score: 0.10000000, Average Score: 0.11410000, Max: 0.60000001, Min: -0.02000000, Time: 3.08819699
Episode 3400 Score: 0.00000000, Average Score: 0.09830000, Max: 0.60000001, Min: -0.02000000, Time: 0.67560601
Episode 3500 Score: 0.90000001, Average Score: 0.11830000, Max: 0.90000001, Min: -0.02000000, Time: 19.18186045
Episode 3600 Score: 0.00000000, Average Score: 0.11180000, Max: 1.19000002, Min: -0.02000000, Time: 0.75456381
Episode 3700 Score: 0.00000000, Average Score: 0.12140000, Max: 1.59000002, Min: -0.02000000, Time: 0.69161081
Episode 3800 Score: 0.00000000, Average Score: 0.08350000, Max: 1.59000002, Min: -0.02000000, Time: 0.76753831
Episode 3900 Score: 0.10000000, Average Score: 0.10320000, Max: 1.59000002, Min: -0.02000000, Time: 1.61106777
Episode 4000 Score: 0.10000000, Average Score: 0.13990000, Max: 1.59000002, Min: -0.02000000, Time: 2.54251361
